email,code,arm
6fd785907e91f9ac12aa@example.com,48129aa719e433e2fb3476a08d2e0f0402beef860cea7713749bd6fdc24f299c,treatment
c4a6f919b7ed34ed48a2@example.com,9f6840a4672eacda73df9be597144f4e7a801a463c8400b7c01a4846c6360f39,control
c4ba7a3cb4c7771301f3@example.com,ae3e56cb0b53eda55540b73bb4dd252c50866bc968c40da0dd677977a11f9c17,control
bc15c39c2aec3303709c@example.com,452ab678f01997e5f9c7be16117346380d17265c7286139437f6f89b190d0577,treatment
d6e1e41a0432d3ba65be@example.com,e68ae1baae6552950a371e5c33c4ac68fc1272faf1a199aa0e38f513a49b0139,treatment
366bcc615a9e35acbdca@example.com,eb439d5a989ce47c37688c7af0809fafca3b3b1d862e8050af51ddc4e57ac242,treatment
9237df7c713d33e9f25c@example.com,7fd17d0bfc162476d8962085e5606750e4462140c0c1dbd62ed0d1d87a0fbb8b,control
63de09357d126a60a284@example.com,c8f2a6367ccdee66e6fbdd168d325e45239b55e0af53e06c09f388d21e2f9b30,control
038a286a9e7d080f0747@example.com,3bb5c132fe78434b9c58060e8505073209491fb62488acb22817de7a274e01c6,control
4541ab89d0e54eae4148@example.com,b8618f93712019abec38bb3ce76f5f168f22a293b225793202c5cba03ff84856,control
733715e070f81df12988@example.com,ab9c752c50344a09ef982f733601639f3d68d7a9ea7259d750c5534a5d10d3d7,treatment
89b3dda030cbcb8709cb@example.com,fdd92786f7fdb4533799d5949f6f51f0d3f57691e6c2267d717cfb05d3149a14,treatment
18842869a51205fb4053@example.com,2ca59cf8d62e71bf5f323860c35432382b1af35b1d36972a89d5a2228c5c21f4,treatment
33be1113a98bb7ce6a5e@example.com,9d9586561e478363862cbf14b0caecea16ebce6cbec2d877abf24ba185948d6d,treatment
9a961d03276dad75f8f6@example.com,137747fcb4c4916823516022f683f52cc8450426efaa9d93840d4a8fd53c44d9,treatment
883739d7b84c6decb041@example.com,8d32a12ef9f4e607c9b59c0a50925d942b7c06ee54faa869826b6e3fb4c51320,control
feee05a23f5403853eeb@example.com,a7a9416ebfd3c9e147f00d3bc85538e6836d2f8f8c0ebd36b5d6c1b808b35b53,control
9a4510b8650ad76f7647@example.com,0c497a804230e5e1fe75656fda28539e4a0f022c3a761ab97e625158424a5e9e,treatment
dfd3e53db86802e7e001@example.com,0f88f3999c37a172b325cf94da60349ac98f513fd1d063965d15726a8d391cb1,control
1146b8cb95c4d8c93b91@example.com,3b11bd6e50de91fee022f8bfd8283e2a342aee94678f4a0c0bc46f01acbaada4,control
0b4fa97aefc6a4f01106@example.com,026d48270a0c9374eb389748a7707fc9620b574711e84f0acde3a0f21b90b57f,control
68f0b091ef17f0e406f9@example.com,2c93db7ef4878fca7df8ba2bdfe1db9adf88cbf22d4d33828e2a454ce8823e94,control
d3e41039fe7e876cd92c@example.com,c20370fbceb79041f574f53b5723588d5f10cad4154e519fd78a999212fd143c,control
77585832caa1b791c3e3@example.com,c55f884abb0b2303d8ef340408e9e7dbaa254c9c1da046f154cc0f36ea2faf3a,treatment
c98d4c6265a002863991@example.com,1dc87f79877a46025b1c7c17745fb994c9239e7d77612139133303af5b9bf8db,treatment
c6a1f897f50752d82fc6@example.com,ae956aba424f2816fe84fdc8d5f9c3d4366f1462758f02c1b5a866092da22cc4,treatment
a5ed9464d2fbdc963f24@example.com,a0bcb68ff077d114aa548caefd0f34659041dd484e6802fae0806591b749abb6,treatment
ea241d5f191f958f2c03@example.com,a9517b03ff8175d2d334af3380092a7490d84661bd2253fcbd3a978898812e33,control
ffed2620f27247eb3a3b@example.com,1a139d034a45739768e583ebe915fa5481bbfaf4d1d852141c89daa5d291ee61,treatment
048982458daffd23274c@example.com,0d265d407132d96b66d389d2a99435162e3db7672b8ab7a9ce3d64f7e3eedc90,control
82c51327ae97d88930eb@example.com,6e71cb5150a7228384004b6b750663033cd1360dd4224609c988c9d931b2da23,control
52b1a0a9e00e388b37df@example.com,2120b278ab062f097289a615957fda6da9f64e3598f7b1279047d4a30f99ec29,treatment
5a7d742eea0fa274452b@example.com,52f3d2440163632919b61f9d10f9d125a30d3a388507e83a353d8e70bb77701f,treatment
